words,definition,pos_tag,freq_of_use
ekonomi,[é.ko.no.mi]  Definisi :ékonomi 1. ilmu bkn pengeluaran pengagihan penggunaan barang-barang dan perkhidmatan: beberapa orang penuntut ~ sedang membantu Kementerian Buruh menyelidiki keadaan pengangguran sekarang ini ahli ~ orang yg pakar dlm bidang ekonomi 2. sistem pengeKamus Dewan Edisi Keempat[é.ko.no.mi]  Definisi :ékonomi 1 ilmu ttg asas-asas pengeluaran pembahagian penggunaan barang-barang dan perkhidmatan serta masalah-masalah kewangan kemasyarakatan dll yg bersangkutan dgnnya. 2 keadaan kekayaan atau kebendaan sesebuah negara dll: Kedudukan ~ negara semakin kukuh. 3 urusan ttg perkara-perkara rumah tangga spt perbelanjaan penggunaan barang-barang. 4 tidak boros hemat. ~ campuran sistem ekonomi yg sebahagian sumbernya dikawal oleh sektor awam dan sebahagian lagi dikawal oleh sektor swasta. ~ terbuka ekonomi yg melibatkan perdagangan sesebuah negara dgn negara yg lain. ~ tertutup ekonomi yg tidak melibatkan perdagangan antarabangsa iaitu tidak wujud aktiviti import dan eksport barangan atau bahan pengeluaran. berekonomi 1 menjalankan sesuatu usaha menurut ilmu ekonomi. 2 bercermat atau berhati-hati dlm menggunakan wang berhemat. mengekonomikan membelanjakan wang dgn hati-hati menghematkan: Utk tujuan ini beliau telah ~ segala perbelanjaan seberapa yg dpt. perekonomian hal-hal atau kegiatan-kegiatan ekonomi.Kamus Pelajar Edisi Kedua,-,-
bumiputera,[bu.mi.pu.te.ra]  Definisi :anak negeri peribumimembumiputerakan menjadikan sesuatu bersifat milik dsb bumiputera memperibumikan: ada saranan utk ~ beberapa syarikat asing yg beroperasi di negara inikebumiputeraan perihal bumiputera yg berkaitan dgn sifat-sifat bumiputera keperibumian.Kamus Dewan Edisi Keempat[bu.mi.pu.te.ra]  Definisi :anak tulen dr sesebuah negara peribumi.Kamus Pelajar Edisi Kedua,-,-
yang,[yang]  Definisi :1. Lin kata penghubung utk menyatakan bahawa kata keterangan berikutnya dipentingkan atau menunjukkan kelainan: rumah ~ besar itu orang ~ sakit itu 2. Lin kata penghubung utk menyatakan bahawa katakata ayat berikutnya ialah penjelasan utk kata-kata sebelumnya: banyak orang ~ ingin bersalam dengannya 3. kata yg digunakan sbg kata penyerta kata yg menentukan kata benda kata sandang: ~ penting bagi kita ialah mengenai dasar ~ kaya sama kaya 4. sl adapun akan: ~ hutang tuan hamba sekati emas itu halallah dunia akhirat 5. bp kata peng-hubung utk menyatakan isi atau huraiankata ayat sebelumnya bahawa: mengertilah cikgu itu ~ pandangan itu bermaksud meminta nasihat Y~ Amat Arif rujukan kehormat utk Ketua Hakim Negara dlm situasi formal spt di mahkamah dsb Y~ Amat Berbahagia rujukan kehormat yg digunakan utk mereka yg bergelar Tun dan Toh Puan Y~ Amat Berhormat rujukan kehormat yg digunakan utk Perdana Menteri Timbalan Perdana Menteri dan Menteri Besar Y~ Amat Mulia rujukan kehormat yg digunakan utk Undang luak di Negeri Sembilan Y~ Arif rujukan kehormat yg digunakan utk Hakim pd situasi yg formal spt di mahkamah dsb Y~ Berbahagia rujukan kehormat yg digunakan utk mereka yg bergelar Tan Sri Puan Sri Datuk Seri Datin Seri Datuk Paduka Datin Paduka Dato Datuk dan Datin yg bukan wakil rakyat Y~ Berhormat rujukan kehormat yg digunakan utk Menteri Timbalan Menteri Yang Dipertua Dewan Negara Yang Dipertua Dewan Rakyat Yang Dipertua Dewan Negeri Ahli Dewan Rakyat Ahli Dewan Negara dan Ahli Dewan Undangan Negeri Y~ Berhormat Mulia rujukan kehormat yg digunakan utk Menteri Timbalan Menteri Yang Dipertua Dewan Negara Yang Dipertua Dewan Rakyat Yang Dipertua Dewan Negeri Ahli Dewan Rakyat Ahli Dewan Negara dan Ahli Dewan Undangan Negeri yg berketurunan raja Y~ Dipertua orang yg dilantik menjadi ketua sesuatu persatuan perkumpulan dll Y~ Dipertua Negeri gelaran utk ketua negeri bagi Melaka Pulau Pinang Sabah dan Sarawak Y~ Dipertuan gelaran utk raja yg memerintah sultan tuanku Y~ di-Pertuan Agong gelaran utk Ketua Negara Malaysia Y~ Maha Kuasa Tuhan Allah Y~ Maha Mulia rujukan kehormat utk sultan atau raja yg memerintah Y~ Mulia rujukan kehormat utk mereka yg bergelar Tengku Raja Syed Engku Ungku dan Datu Y~ Teramat Mulia rujukan kehormat utk keluarga diraja yg terdekat.Kamus Dewan Edisi Keempat[yang]  Definisi : yang-yang dewa beryang-yang membaca mantera memanggil dewa-dewa memuja dewa-dewa: maka tuan puteri pun mengambil gaharu cendana janggi dibakarnya sambil ~ Tuanku Malim Deman pun berangkatlah bersiram di dlm taman itu ~ mengamalkan sekalian ilmu hikmat kayangan tempat kediaman segala dewa keinderaan.Kamus Dewan Edisi Keempat[yang]  Definisi :1 kata utk mengasingkan sesuatu supaya jelas kelainannya: Telur ~ kecil di atas meja itu telur burung. 2 kata utk menentukan sesuatu sbg benda: ~ tinggi itu bangunan Parlimen. 3 kata yg menghubungkan benda dgn penerangnya: Rumah ~ baru dibelinya itu rumah batu. ~ Dipertua orang yg dilantik menjadi ketua sesuatu perkumpulan persatuan dll. ~ Dipertuan gelaran utk raja yg memerintah. ~ Maha Kuasa Tuhan Allah.Kamus Pelajar Edisi Kedua[yang]  Definisi :  yang-yang dewa. beryang-yang memuja dewa-dewa.Kamus Pelajar Edisi Kedua,-,-
disasarkan,-,-,-
dan,-,-,-
keadilan,[ke.Öa.di.lan][ke.a.di.lan]  Definisi :sifat perbuatan tindakan dll yg adil: ~ seseorang raja atau pemerintah ia menuntut ~ ia menuntut penyelesaian yg adil menciptakan ~ masyarakat mengadakan susunan dan keadaan yg adil bagi kehidupan dlm masyarakatKamus Dewan Edisi Keempat[ke.Öa.di.lan][ke.a.di.lan]  Definisi :keadaan sifat perbuatan dll adil.Kamus Pelajar Edisi Kedua,-,-
sosioekonomi,[so.sio.é.ko.no.mi]  Definisi :sosioékonomi berkaitan dgn melibatkan unsur-unsur atau faktor-faktor kemasyarakatan dan ekonomi: kajian-kajian ~.Kamus Dewan Edisi Keempat[so.sio.é.ko.no.mi]  Definisi :sosioékonomi berkaitan dgn atau melibatkan faktor kemasyarakatan dan faktor ekonomi: kajian-kajian ~.Kamus Pelajar Edisi Kedua,-,-
awam-swasta,-,-,-
menyasarkan,[me.nya.sar.kan]  Definisi :1. menghalakan menujukan 2. menetapkan sasaran hasil perolehan dsb yg ingin dicapai: syarikat ~ jualan bagi kedua-dua unit amanah ini mencecah sehingga RM30 juta menjelang bulan Jun depan negara kita ~ 14 pingat emas bagi acara olahraga di temasya Sukan SEA ituKamus Dewan Edisi Keempat[me.nya.sar.kan]  Definisi :1 menujukan menghalakan. 2 menetapkan matlamat hasil perolehan dsb yg hendak dicapai: Pihak pemasaran ~ jualan sebanyak 10000 unit menjelang hujung tahun ini.Kamus Pelajar Edisi Kedua,-,-
sumbangan,[sum.ba.ngan]  Definisi :1. sesuatu yg diberikan sbg bantuan kpd keramaian dll 2. bantuan atau pertolongan yg diberikan sokongan: mahasiswa kita masih sedikit sekali memberi ~ kpd tanah air senarainya telah digunakan di peringkat antarabangsa dan telah memberi ~ yg besar terhadap kajian cerita rakyatKamus Dewan Edisi Keempat[sum.ba.ngan]  Definisi :apa-apa yg diberikan sbg bantuan atau sbg sokongan pertolongan: Apakah ~ saudara kpd masyarakat sejak saudara lulus dr universitiKamus Pelajar Edisi Kedua,-,-
dalam,[da.lam]  Definisi :1. jarak jauhnya ke bawah atau ke dasar dr permukaan air tanah dsb jarak jauhnya ke tengah dr tepi atau pinggir sesuatu: ~ perigi itu kira-kira empat meter 2. jauh ke bawah atau ke dasar dr permukaan air tanah dll atau jauh ke tengah dr tepi atau pinggir hutan dll jauh jaraknya di antara paras permukaan dgn dasar tidak cetek: lubang itu ~ sungguh jangan suka berenang di tempat yg ~ 3. bukan sedikit tidak sempit lebih drpd sekadar yg perlu sahaja: dia mempunyai pengetahuan yg ~ tentang hal itu 4. mengandungi makna yg tidak mudah difahami bkn perkataan ungkapan dsb lebih drpd yg terzahir: perkataan ini ~ maknanya 5. tidak ceper leper jeluk bkn pinggan atau piring 6. bahagian atau ruang rumah bilik peti almari dll yg lawannya luar: diambilnya sepucuk surat dr ~ laci itu dan dihulurkannya kpd saya dia memasukkan bungkusan itu ke ~ keretanya 7. yg berkaitan dgn atau terbatas pd lingkungan sesuatu spt negeri keluarga dll itu sendiri: urusan ~ negeri masalah ~ keluarga 8. yg tidak nampak atau ketara dr luar: penyakit ~ 9. yg dipakai sebelum dipakai pakaian selengkapnya: baju ~ seluar ~ ~ berselam dangkal cetek berjingkat bertimba prb berpada dgn yg sedikit sedalam mencapai dalam atau sehingga dalamnya sebagaimana yg dinyatakan: digalinya lubang ~ kira-kira dua metersedalam-dalamnya 1. seberapa dalam yg mungkin: menggali ~ 2. dgn seberapa teliti atau terperinci: perlu difikirkan ~ cadangan yg dikemukakan itu sebelum dibuat sesuatu keputusanberdalam-dalam makin menjadi dalam merebak meluas dsb menjadi-jadi mendalam 1. menjadi dalam atau lebih dalam bkn lubang dsb bertambah dalam: lukanya semakin ~ kerana tidak dirawat dan dibubuh ubat 2. menjadi kukuh dan tidak mudah luput bkn perasaan kepercayaan terhadap sesuatu dll menjadi berat melarat bkn penyakit dll: perasaan cintanya terhadap Bibah semakin ~ kebencian yg ~ tradisi lama di kampungku terlalu ~ 3. sampai ke peringkat yg terperinci bkn kajian dsb luas dan teliti meliputi banyak aspek: kajiannya tentang sastera Melayu kurang ~mendalami memperdalami berusaha utk mengetahui sesuatu dgn lebih luas dan terperinci dgn mempelajari mengkaji menyelidik dsb dgn teliti dan terperinci menjadikan lebih sempurna atau terperinci pengetahuan dsb tentang sesuatu: mereka akan mengkaji lebih banyak buku dan kitab utk ~ pengetahuan mereka tentang agama Islam masing-masing ~ bidang yg diminatinyamendalamkan 1. menjadikan dalam atau lebih dalam perigi lubang dll: beberapa orang pekerja sedang ~ telaga 2.  memperdalam ki menjadikan lebih dalam pelajaran pengetahuan penyelidikan dsb: ia terus bekerja sambil ~ pengetahuannya tentang seni muzik perkembangan profesional memberi fokus kpd intelektualisme iaitu kpd memperdalam dan memperluas bidang pengetahuan dan kemahiran profesiondalaman 1. isi perut 2. yg tersembunyi dan tidak mudah difahami bkn makna ayat kata-kata dsb: kita seharusnya menyelami makna ~ kata-kata yg diucapkannya itu 3. yg berkaitan dgn atau perlu diuruskan dsb oleh sesuatu organisasi itu sendiri struktur ~ Lin dlm tatabahasa generatif gambaran yg diandaikan terdapat dlm struktur sesuatu ayat pd peringkat dasarnya hubungan gramatis atau hubungan logik dijelaskan sebelum struktur ayat tersebut mengalami perubahan kerana peraturan transformasikedalaman 1. perihal dalam budi bahasa pengetahuan pelajaran dll: kedangkalan dan ~ ilmu pengetahuan seseorang 2. ark terlalu dalampedalaman daerah yg jauh dr pantai yg terletak di ceruk pelosok atau di hulu negeri hulu: dia menjadi orang yg paling berpengaruh di daerah ~ penjahat-penjahat sedang bersembunyi di daerah ~pendalaman perihal mendalamkan tindakan proses dll mendalamkan.Kamus Dewan Edisi Keempat[da.lam]  Definisi :1. antara di kalangan: ~ mereka yg bertiga belas itu ada yg bergirang-girang 2. di dalam bukan di luar lingkungan dsb sesuatu: ~ Wilayah Persekutuan ~ bidang mata pelajaran tersebut 3. sambil: ~ kita berharap keadaan akan bertambah baik kita mesti juga beringat-ingat 4. pd waktu tertentu: kita berharap keadaan akan bertambah baik ~ tahun hadapan dia masih ~ pantang lagi ~ idah masa belum boleh berkahwin lain bagi perempuan yg baru menjadi janda ~ negeri dlm lingkungan sesebuah negeri itu sahaja ~ tangan dlm kekuasaan kemampuan milik seseorang sudah tentu dapat atau akan diperoleh ~ dua tengah tiga prb tidak jujur kilat di ~ kilau prb tujuan maksud yg terkandung dlm percakapan atau tingkah laku.Kamus Dewan Edisi Keempat[da.lam]  Definisi :sl istana kawasan istana raja bahasa ~ bahasa yg digunakan di kalangan raja atau golongan istana spt beradu santap dll budak ~ pesuruh raja kedalaman sl istana rumah-rumah dlm kawasan istana bahasa ~ bahasa kehormatan utk raja-raja.Kamus Dewan Edisi Keempat[da.lam]  Definisi :1 bahagian atau ruang di balik bahagian yg di luar: Rumah itu ~nya sangat bersih. 2 kedudukan sesuatu tempat yg terpisah oleh jarak tertentu dr tepi tengah: Semakin ke ~ dia pergi semakin banyak dia menemukan rotan yg baik-baik. 3 batin: Orang itu kelihatan baik tetapi ~nya siapa yg tahu. ~ talian ist 1 keadaan kelengkapan atau peranti komputer di bawah kawalan sistem utama komputer. 2 perihal bolehnya pengguna berinteraksi secara langsung dgn menggunakan komputer. ~ tangan sudah tentu dpt. dalaman 1 isi perut spt hempedal hati paru-paru. 2 berkaitan dgn sesuatu pihak organisasi itu sendiri: urusan ~. pedalaman daerah yg jauh di darat dr pantai atau dr bandar: Padi huma banyak ditanam di ~.Kamus Pelajar Edisi Kedua[da.lam]  Definisi :1 mengenai tentang berkenaan dgn: Dia memang pakar ~ hal itu. 2 selama masa tertentu pd waktu tertentu: ~ masa dua jam lagi ia akan sampai. 3 di kalangan di antara: ~ mereka yg ramai itu ada yg pandai bermain piano. 4 mengalami ditimpa: Para nelayan ~ keadaan susah.Kamus Pelajar Edisi Kedua[da.lam]  Definisi :1 jauh ke bawah dr permukaan: Perigi itu sangat ~. Lukanya agak ~. 2 ki penuh atau berisi ttg ilmu: Beruntunglah orang yg berguru dgn seseorang yg ~ ilmunya. 3 ki hingga ke lubuk hati ttg cinta penderitaan dll: Kasih ibu terhadap anaknya sangat ~. 4 tidak mudah difahami: Yg diperkatakannya itu mempunyai erti yg ~. mendalam 1 bertambah dalam menjadi dalam: Lukanya kian ~ kerana tidak diubati. 2 teliti sempurna luas dll: Pengetahuannya ttg sastera Melayu sungguh ~. 3 lebih melarat penyakit lebih dalam kuat kukuh bkn perasaan: Perasaan bencinya terhadap bangsa asing sungguh ~. mendalami berusaha supaya mengetahui memahami mengerti dgn teliti atau dalam: Beliau ingin ~ bidang pertanian. Dia mencuba ~ hati kawannya itu. mendalamkan 1 menjadikan dalam: Kuli itu sedang ~ parit di tepi jalan. 2 meluaskan atau mengkaji dgn teliti ttg sesuatu ilmu: Dia pergi ke London utk ~ pengetahuannya dlm bidang perubatan. memperdalam 1 menjadikan lebih dalam: Orang-orang kampung bergotong-royong ~ telaga itu. 2 berusaha supaya mengetahui memahami dgn lebih teliti: Dia ~ ilmu yg dipelajarinya itu. kedalaman keadaan dalam dalamnya: Kepekatan karbon dioksida bertambah mengikut ~ tanah. Drpd pertuturannya kita dpt mengetahui ~ ilmu pengetahuannya. pendalaman perbuatan usaha dsb mendalami atau mendalamkan.Kamus Pelajar Edisi Kedua,-,-
peningkatan,[pe.ning.ka.tan]  Definisi :perbuatan usaha dsb meningkatkan atau mempertingkatkan: ~ daya pengeluaran ~ hasil jualan ~ mutu.Kamus Dewan Edisi Keempat[pe.ning.ka.tan]  Definisi :perbuatan hal dsb meningkat atau meningkatkan.Kamus Pelajar Edisi Kedua,kata nama,High
inisiatif,[i.ni.sia.tif]  Definisi :daya usaha tindakan dll yg mula-mula: di dlm bukunya itu dia ada menitikberatkan betapa pentingnya ~ perseorangan mengambil ~ mulai bertindak berusaha dll berinisiatif mempunyai inisiatif: pegawai yg ~.Kamus Dewan Edisi Keempat[i.ni.sia.tif]  Definisi :1 daya usaha yg mula-mula: mengambil ~ memulakan sesuatu usaha. 2 kebolehan utk melihat apa-apa yg perlu dilakukan dan berusaha pula utk menjayakannya.Kamus Pelajar Edisi Kedua,kata nama,High
meningkatkan,[me.ning.kat.kan]  Definisi :meninggikan kedudukan taraf dll membesarkan pengeluaran dll memperhebat: daya usaha ini akan ~ kemungkinan pertumbuhan ekonomi kerjasama antara parti-parti komponen BN perlu ditingkatkan lagi ~ diriKamus Dewan Edisi Keempat[me.ning.kat.kan]  Definisi :meninggikan kedudukan taraf dll. Mereka berusaha utk ~ taraf hidup.Kamus Pelajar Edisi Kedua,kata nama,High
pelan,Definisi :pélan Jk tanah lapang lapangan.Kamus Dewan Edisi KeempatDefinisi :tanah lapang.Kamus Dewan Edisi KeempatDefinisi :bp perlahan ~-~ perlahan-lahan: ia membuka matanya ~-~.Kamus Dewan Edisi KeempatDefinisi :1. rajah yg menggambarkan bentuk ukuran letak sesuatu bangunan tanah dll ~ bandar ~ rumah 2. rancangan yg sudah diatur utk dilaksanakan ~ induk rancangan menyeluruh yg merangkumi seluruh dasar dan segala rancangan kegiatan yg akan dilaksanakan dlm pembangunan perekonomian dsb: beberapa kajian yg terkandung dlm P~ Perindustrian Malaysia ~ lantai S.Bina lukisan mengikut skala bagi susun atur bilik dsb pd satu lantai sesebuah bangunan ~ tindakan langkahlangkah tindakan yg diambil utk mencapai sesuatu tujuan.Kamus Dewan Edisi KeempatDefinisi :1 rajah yg menggambarkan bentuk serta ukuran sesuatu bangunan kawasan dsb. 2 rancangan yg sudah diatur utk dilaksanakan. ~ induk rancangan menyeluruh yg merangkumi seluruh dasar dan segala rancangan kegiatan yg akan dilaksanakan dlm pembangunan perekonomian dsb: Beberapa kajian terkandung dlm ~ induk projek tsb. ~ lantai lukisan mengikut skala bagi susun atur bilik dsb pd satu lantai sesebuah bangunan. ~ tindakan rancangan yg diatur yg terdiri drpd langkah-langkah utk bertindak secara bijak.Kamus Pelajar Edisi Kedua,kata nama,High
induk,[in.du]  Definisi :Mn 1. ibu terutamanya binatang emak: kambingnya ada sepuluh ekor yg sudah jadi ~ tiga ekor 2. ki yg terutama yg besar yg menjadi pokok asal punca asas: kesalahan yg telah kaulakukan itu adalah ~ kpd segala macam kesalahan ~ ayam a ayam betina yg sudah beranak b ki orang yg penakut ~ bangsa bangsa yg menjadi punca suku-suku bangsa ~ beras nasi Mn isteri ~ cuka ibu kaki ~ hutang hutang yg asal tidak bercampur dgn bunga ~ jari tangan ibu jari ~ kaki ibu kaki ~ kalimat ayat besar yg menjadi pokok cerita dlm ayat yg bersambung-sambung ~ karangan karangan yg terutama dlm akhbar atau majalah ~ madu sarang lebah ~ pisang pokok pisang yg mula-mula ditanam ~ roti ragi utk adunan roti ~ rumah rumah ibu bahagian yg besar atau bahagian tengah rumah ~ semang a orang perempuan yg mengambil orang lain utk menumpang di rumahnya b orang yg memberi pekerjaan atau barang-barang utk dijual kpd orang lain ~ sutera sarang ulat sutera ~ tentera pasukan yg terbesar dlm gerakan perang berindukkan mempunyai atau menganggap sesuatu sbg induk: contohnya bahasa Latin dan bahasa Yunani yg ~ bahasa Indo-Eropah perinduk seperinduk semua yg berasal drpd satu ibu atau induk sekeluarga.Kamus Dewan Edisi Keempat[in.du]  Definisi :1 ibu terutamanya kpd binatang emak: ~ ayam ayam betina yg telah mempunyai anak. 2 ki yg paling besar yg terutama yg paling penting: kapal ~ kapal perang yg besar yg mengangkut kapal terbang.Kamus Pelajar Edisi Kedua,kata nama,High
kerjasama,[ker.ja.sa.ma]  Definisi :1. kerja usaha dsb bersama-sama atau saling membantu antara dua atau beberapa pihak gotong-royong: ~ antara semua pihak yg terlibat amat perlu utk menjayakan projek ini 2. sumbangan pelbagai rupa bersifat bantuan tenaga sokongan persefahaman dll dr satu pihak kpd pihak yg lain utk faedah bersama: jabatan itu dapat bergerak dgn licin hanya jika ada ~ dr pihak orang ramai seseorang ketua memerlukan ~ drpd orang-orang bawahannya supaya segala yg diselenggarakan berhasil syarikat ~ syarikat yg dikendalikan bersama oleh ahliahlinya dgn cara saling membantu menyumbang dsb utk faedah bersama bekerjasama bekerja berbuat sesuatu bersama-sama atau dgn cara saling membantu menyumbang dsb bergotong-royong: mereka tidak dapat membuat satu-satu kerja dgn sempurna kalau tidak dgn ~.Kamus Dewan Edisi Keempat[ker.ja.sa.ma]  Definisi :kerja yg dibuat bersama-sama dan dgn tolong-menolong gotong-royong: Jabatan itu berjalan licin kerana ada ~ drpd masyarakat. bekerjasama bekerja bersama-sama dan tolong-menolong bergotong-royong.Kamus Pelajar Edisi Kedua,kata nama,High
negara,[ne.ga.ra]  Definisi :1 kumpulan masyarakat yg mendiami sesuatu kawasan mempunyai kedaulatan politik dan juga jentera pemerintahan: Kepentingan ~ lebih diutamakan drpd kepentingan perseorangan. 2 sesuatu kawasan yg didiami oleh masyarakat tsb: ~ Malaysia. ~ dunia ketiga negara-negara di Afrika Asia dan Amerika Latin secara berkumpulan yg dianggap masih mundur atau sedang membangun. ~ jiran  ~ tetangga negara yg berdekatan. ~ maju negara kaya yg sebahagian besar ekonominya bergantung pd industri dan penduduknya menikmati taraf hidup yg tinggi. ~ matahari terbit negara Jepun. ~ membangun negara yg sedang giat berusaha meningkatkan taraf hidup ekonomi dsb spt Malaysia. ~ perindustrian negara yg kekuatan dan kemajuan ekonominya berteraskan pelbagai industri. kenegaraan segala yg berkaitan dgn negara. negarawan orang yg mahir benar dgn cara-cara pemerintahan negara orang yg memegang tampuk pemerintahan sesebuah negara ahli negara.Kamus Pelajar Edisi Kedua,kata nama,High
kepada,[ke.pa.da]  Definisi :1. kata utk menyatakan arah ke dipakai sebelum nama orang atau kata pengganti diri pada: mengirim surat ~ orang tuanya 2. terhadap akan: jangan berbuat jahat ~ orang 3. daripada pada: baginda memohon Siantan ~ Betara Majapahit ia penolong ~ Pegawai Daerah.Kamus Dewan Edisi Keempat[ke.pa.da]  Definisi :1 kata sendi nama yg menyatakan sasaran seseorang atau sesuatu: Dia mengirim surat ~ orang tuanya yg tinggal di Ipoh. Adik memberikan makanan itu ~ kucingnya. 2 terhadap akan: Tidak baik berbuat jahat ~ orang.Kamus Pelajar Edisi Kedua,kata tugas,Moderate
penyertaan,[pe.nyer.ta.an]  Definisi :perbuatan menyertai menyerta-kan: ~ negara-negara anggota dlm ran-cangan-rancangan PBBKamus Dewan Edisi Keempat[pe.nyer.ta.an]  Definisi :perbuatan atau hal menyertai: UDA berusaha mempercepat ~ kaum bumiputera dlm bidang perdagangan dan perindustrian.Kamus Pelajar Edisi Kedua,kata tugas,Moderate
melalui,[me.la.lui][me.la.lu.i]  Definisi :1. mengikuti jalan dll melintasi lalu di menempuhi: beberapa orang gadis yg sedang ~ lorong itu terpaksa berhenti sejenak 2. tidak mengikuti ajaran hukuman perintah dll mengingkari: tiada kuasa patik sekalian ~ titah Yang Dipertuan apalah titah tuanku patik sedia menjunjung tiadalah ~ titah perintah sekali-kali 3. dgn perantaraan menerusi: rancangan Dewan Bahasa di udara sering kali disiarkan ~ radio Ahmad telah memajukan tuntutannya ~ peguamnya 4. melampaui melangkaui melangkahi: apa-apa yg kamu tidak faham tanyalah kpd guru jangan dilalui sahaja ketika saya berjalan itu ada ~ beberapa buah kedai orang menjual makanan 5. dgn perjalanan masa: sesetengah kes ini menjadi usang ~ masaKamus Dewan Edisi Keempat[me.la.lui][me.la.lu.i]  Definisi :1 lalu di mengikuti menempuh: Kami berjalan ~ lurah dan bukit. 2 dgn perantaraan menerusi: Berita yg mengerikan itu didengar ~ radio.Kamus Pelajar Edisi Kedua,kata tugas,Moderate
pula,[pu.la]  Definisi :1. sekali lagi berulang lagi datang lagi kembali lagi: kelmarin sudah tidak hadir hari ini tidak hadir ~ nampaknya saya ini dicalonkan ~ 2.  lagi ~ lebih-lebih lagi tambahan lagi: memang ia mempunyai kelayakan lagi ~ ia seorang yg sangat suka berkhidmat istimewa ~ lebih-lebih lagi 3. juga sama halnya dgn yg terdahulu: saya pun demikian ~ saya ~ yg menyokongnya 4. gerangan konon yg bererti tah: apa ~ yg mengganggui fikirannya itu apa ~ ertinya hidup seorang yg telah putus harapannyaKamus Dewan Edisi Keempat[pu.la]  Definisi :1 agaknya gerangan: Siapa ~ yg datang malam-malam begini 2 berulang lagi sekali lagi: Pagi tadi sudah datang sekarang datang ~. 3 juga: Ada ~ orang yg menyokongnya.Kamus Pelajar Edisi Kedua,kata tugas,Moderate
kepada,[ke.pa.da]  Definisi :1. kata utk menyatakan arah ke dipakai sebelum nama orang atau kata pengganti diri pada: mengirim surat ~ orang tuanya 2. terhadap akan: jangan berbuat jahat ~ orang 3. daripada pada: baginda memohon Siantan ~ Betara Majapahit ia penolong ~ Pegawai Daerah.Kamus Dewan Edisi Keempat[ke.pa.da]  Definisi :1 kata sendi nama yg menyatakan sasaran seseorang atau sesuatu: Dia mengirim surat ~ orang tuanya yg tinggal di Ipoh. Adik memberikan makanan itu ~ kucingnya. 2 terhadap akan: Tidak baik berbuat jahat ~ orang.Kamus Pelajar Edisi Kedua,kata tugas,Moderate
melalui,[me.la.lui][me.la.lu.i]  Definisi :1. mengikuti jalan dll melintasi lalu di menempuhi: beberapa orang gadis yg sedang ~ lorong itu terpaksa berhenti sejenak 2. tidak mengikuti ajaran hukuman perintah dll mengingkari: tiada kuasa patik sekalian ~ titah Yang Dipertuan apalah titah tuanku patik sedia menjunjung tiadalah ~ titah perintah sekali-kali 3. dgn perantaraan menerusi: rancangan Dewan Bahasa di udara sering kali disiarkan ~ radio Ahmad telah memajukan tuntutannya ~ peguamnya 4. melampaui melangkaui melangkahi: apa-apa yg kamu tidak faham tanyalah kpd guru jangan dilalui sahaja ketika saya berjalan itu ada ~ beberapa buah kedai orang menjual makanan 5. dgn perjalanan masa: sesetengah kes ini menjadi usang ~ masaKamus Dewan Edisi Keempat[me.la.lui][me.la.lu.i]  Definisi :1 lalu di mengikuti menempuh: Kami berjalan ~ lurah dan bukit. 2 dgn perantaraan menerusi: Berita yg mengerikan itu didengar ~ radio.Kamus Pelajar Edisi Kedua,kata kerja,Moderate
keluaran,[ke.lua.ran]  Definisi :1. yg dikeluarkan dihasilkan: beliau menyeru rakyat supaya lebih banyak membeli barang-barang ~ dlm negeri 2. yg diterbitkan bkn buku majalah dsb: majalah ~ bulan lepas 3. yg telah lulus dr maktab dsb yg terdidik atau terlatih di lepasan: guru-guru ~ maktab latihan dan universiti orang ~ a orang yg tidak ada sangkut paut orang yg tidak termasuk dlm atau berkaitan dgn sesuatu perkara kumpulan dll orang luar b sl orang yg di luar golongan lingkungan istana: akan anakanda ini terlalulah sekali baik parasnya pd hati beta tiada patut ia bersuami orang ~ ~ negara Eko jumlah nilai barang dan perkhidmatan yg dikeluarkan oleh unit ekonomi dlm sesebuah negara dlm satu tempoh tertentu biasanya setahun ~ negara bersih Eko nilai semua barang dan perkhidmatan akhir pd kos faktor dlm satu tempoh tertentu setelah ditolak susut nilai ~ negara kasar Eko nilai semua barang dan perkhidmatan akhir pd harga pasaran dlm satu tempoh tertentu sebelum ditolak susut nilaiKamus Dewan Edisi Keempat[ke.lua.ran]  Definisi :sesuatu yg dikeluarkan dihasilkan diterbitkan dll: majalah ~ bulan Mei.Kamus Pelajar Edisi Kedua,kata kerja,Moderate
